    7592 Cc1ccc(S(=O)(=O)N[C@@H]2C3CC(c4ccc(F)cc4)(CO3)[C@H]2C/C=C\COCC(=O)O)cc1
    7598 CCCCC[C@H](O)/C=C/[C@H]1C2CC(Cc3ccccc3)(CO2)[C@@H]1C/C=C/CCCC(=O)O
    7600 Cc1ccc(S(=O)(=O)NC[C@@H]2C3CC(c4ccc(F)cc4)(CO3)[C@H]2C/C=C\CCCC(=O)O)cc1
    7604 C1=C(c2ccnnc2)C2CC[C@H](CC1)N2
    7605 CCCCC[C@H](O)/C=C/[C@@H]1C2CC(c3ccc(F)cc3)(CO2)[C@H]1C/C=C/CCCC(=O)O
    7631 O=C(O)COCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)c(Cl)c2)C2CC1(c1ccc(F)cc1)CO2
    7636 CCCC#CC12COC(C1)[C@H](COCc1ccccc1)[C@H]2C/C=C/CCCC(=O)O
    7637 CCCCC[C@H](O)/C=C/[C@H]1C2CC(c3ccc(F)cc3)(CO2)[C@@H]1C/C=C/CCCC(=O)O
    7645 N#Cc1ccc(COC[C@@H]2C3CC(c4ccc(F)cc4)(CO3)[C@H]2C/C=C/CCCC(=O)O)cc1
    7669 O=C(O)CCC/C=C\C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
    7670 CCCCC[C@H](O)/C=C/[C@H]1C2CC(CCc3ccccc3)(CO2)[C@@H]1C/C=C/CCCC(=O)O
    7671 O=C(O)CCC/C=C/C[C@@H]1[C@@H](COCc2ccccc2)C2CC1(CCc1ccccc1)CO2
    7676 Cc1ccc(S(=O)(=O)N[C@@H]2C3CC(c4ccc(F)cc4)(CO3)[C@H]2CCCCOCC(=O)O)cc1
    7678 N#Cc1ccc(COC[C@H]2C3CC(c4ccc(F)cc4)(CO3)[C@@H]2C/C=C/CCCC(=O)O)cc1
    7680 C1=C(c2cccnc2)C2CC[C@H](CC1)N2
    7711 Clc1ccc(C2=CCC[C@H]3CCC2N3)cn1
    7713 O=C(O)COC/C=C\C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
    7745 O=C(O)CCC/C=C\C[C@H]1[C@H](CNS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
    7800 O=C(O)COCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)c(Cl)c2)C2CC1(c1ccc(-c3ccccc3)cc1)CO2
    7840 Cc1ccc(S(=O)(=O)N[C@@H]2C3CC(c4ccc(F)cc4)(CO3)[C@H]2C/C=C\CCCC(=O)O)cc1
    7902 C1=C(c2cnccn2)C2CC[C@H](CC1)N2
    7903 C1=C(c2cncnc2)C2CC[C@H](CC1)N2
    7905 CCCNC(=O)Nc1cccc(-c2ccc(C[C@H](NS(=O)(=O)C[C@]34CCC(CC3=O)C4(C)C)C(=O)O)cc2)c1
    7911 O=C(O)CCC/C=C\C[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)c(Cl)c2)C2CC1(c1ccc(F)cc1)CO2
    7929 O=C(O)COCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)cc2)C2CC1(c1ccc(F)cc1)CO2
    7936 O=C(O)CCC/C=C\C[C@H]1[C@H](CNS(=O)(=O)c2ccc(Cl)cc2)C2CC1(c1ccc(F)cc1)CO2
    7960 O=C(O)COCCCC[C@H]1[C@H](CNS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2
