  370847 CC(C)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO |Serine/threonine-protein kinase Chk1
  370848 CC(C)CNc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO |Serine/threonine-protein kinase Chk1
  370869 N#Cc1ncc2nc1OCCCCCOc1cc(NCc3cccnc3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370870 N#Cc1ncc2nc1OCCCCCOc1cc(NCc3ccncc3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370875 N#Cc1ncc2nc1OCCCCCOc1cc(NCc3ccccc3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370876 N#Cc1ncc2nc1OCCCCCOc1cc(NCc3c[nH]cn3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370884 O=C1Nc2cncc(n2)OCCCCCOc2ccc(Cl)cc2N |Serine/threonine-protein kinase Chk1
  370885 N#Cc1ncc2nc1OCCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370886 N#Cc1ncc2nc1OCCCCCOc1cc(NCc3cnco3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370893 N#Cc1ncc2nc1OCCCCOc1ccc(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370892 N#Cc1ncc2nc1OCCCCCOc1ccc(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370894 N#Cc1ncc2nc1OCCCCCOc1cc(NCc3ccsc3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370895 Cn1cncc1CNc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO |Serine/threonine-protein kinase Chk1
  370907 N#Cc1ncc2nc1OCCCCCCOc1ccc(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
