 2281228 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2282723 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2284638 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2284916 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2285443 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2286509 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2289008 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2289523 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2292834 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2293298 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2293958 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2294194 4.00 |Tyrosine-protein kinase receptor FLT3| Tyrosine-protein kinase receptor FLT3 IC50
 2294338 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2294680 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2296110 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2297065 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2297162 9.17 |Tyrosine-protein kinase TXK| Tyrosine-protein kinase TEC IC50
 2304047 5.73 |Dual specificity protein kinase TTK| Dual specificity protein kinase TTK IC50
 2319270 118.28 |Tyrosine-protein kinase JAK1| Tyrosine-protein kinase JAK3 IC50
 2333026 118.28 |Tyrosine-protein kinase JAK1| Tyrosine-protein kinase JAK3 IC50
 2335478 309.09 |Tyrosine-protein kinase JAK3| Tyrosine-protein kinase LCK IC50
 2344922 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
 2346103 54.29 |MAP kinase-interacting serine/threonine-protein kinase MNK1| MAP kinase signal-integrating kinase 2 IC50
 2347062 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
 2347821 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
 2355605 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
 2356745 54.29 |MAP kinase-interacting serine/threonine-protein kinase MNK1| MAP kinase signal-integrating kinase 2 IC50
 2374357 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
 2377702 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
 2388204 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
 2423779 24.14 |Serine/threonine-protein kinase PLK4| Serine/threonine-protein kinase Aurora-A IC50
