 1441665 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441667 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441669 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441670 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441680 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441679 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441683 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441684 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441685 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441686 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441687 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441688 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1441689 7.69 |Cyclin-dependent kinase 5/CDK5 activator 1| Dual-specificity tyrosine-phosphorylation regulated kinase 1A IC50
 1567644 393.70 |Serine/threonine-protein kinase B-raf| Serine/threonine-protein kinase B-raf IC50
 1618653 6.84 |Cyclin-dependent kinase 4/cyclin D1| Cyclin-dependent kinase 2/cyclin E1 IC50
 1789129 31.98 |Serine/threonine-protein kinase Chk1| Serine/threonine-protein kinase Aurora-A IC50
 1789227 31.98 |Serine/threonine-protein kinase Chk1| Serine/threonine-protein kinase Aurora-A IC50
 1827259 152.86 |Serine/threonine-protein kinase MST2| Leucine-rich repeat serine/threonine-protein kinase 2 IC50
 1827260 152.86 |Serine/threonine-protein kinase MST2| Leucine-rich repeat serine/threonine-protein kinase 2 IC50
 1827261 33333.33 |Serine/threonine-protein kinase Aurora-A| Tyrosine-protein kinase TIE-2 IC50
 1827275 5.00 |Serine/threonine-protein kinase Aurora-A| Serine/threonine-protein kinase Aurora-B IC50
 1827305 88.33 |Serine/threonine-protein kinase Aurora-A| Serine/threonine-protein kinase Aurora-C IC50
 1841533 151.72 |Dual specificity protein kinase TTK| Aurora kinase B/Inner centromere protein IC50
 1841531 151.72 |Dual specificity protein kinase TTK| Aurora kinase B/Inner centromere protein IC50
 1841532 965.52 |Dual specificity protein kinase TTK| Tyrosine-protein kinase receptor RET IC50
 1950468 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1950469 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1950470 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1950471 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1950472 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1950520 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1950521 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
 1950523 391.28 |PI3-kinase p110-alpha subunit| PI3-kinase p110-gamma subunit IC50
