785530 C/C=C/C(=O)N1CC2(CC(c3cccc(NC(=O)CC)c3)=NO2)C[C@H]1C(N)=O | Serine-protein kinase ATM
785986 CC1=[N+]([O-])C2(CCCC2)[N+]([O-])=C1c1ccccc1 | Pyruvate kinase isozymes M1/M2
793524 O=S(=O)(NC1CC1)c1ccc(S(=O)(=O)N2CCC3(CC2)OCCO3)cc1 | Pyruvate kinase isozymes M1/M2
795462 C/C=C\C=C/C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/CC)C3)c1 | Pyruvate kinase isozymes M1/M2
801383 Cc1cc(NC(=O)C2C3C(=O)N(CCC(C)C)C(C(=O)NCc4ccccc4)C34C=CC2(C)O4)no1 | MAP kinase ERK2
802494 CC12C=CC3(CN(Cc4ccccc4)C(=O)C3C1C(=O)NCc1ccco1)O2 | MAP kinase ERK2
813369 C/C=C\C=C/C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)CCCCC)C3)c1 | Pyruvate kinase isozymes M1/M2
817841 O=C1CCCC2=C1C1(CCOCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
817876 CCC1CCC2(C1)N=C(Nc1nc3ccccc3o1)NC1=C2C(=O)CCC1 | Galactokinase
818584 C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)OC)C2CC[C@]1(OC(C)=O)C3 | Serine-protein kinase ATM
821480 O=C(c1ccco1)N1CCC2(CC1)CCN(C(c1ccccc1)c1ccccc1)CC2 | MAP kinase ERK2
822163 O=C1CCCC2=C1C1(CCSCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
827956 CC(C)C12CN3CC(C(C)C)(CN(C1)C31C(=O)Nc3ccccc31)C2=O | MAP kinase ERK2
846212 O=[N+]([O-])c1ccc2c(c1N1CCCCC1)=NC1(CCCCC1)[N+]=2[O-] | Pyruvate kinase
850074 COc1ccc(C(C)=O)cc1CN1C(=O)NC2(CCCC2)C1=O | MAP kinase ERK2
857240 O=C1CCCC2=C1C1(CCCC1)N=C(Nc1nc3cc(Br)ccc3o1)N2 | Galactokinase
858416 CCN(C(=O)CN1C(=O)NC2(CCc3ccccc32)C1=O)C1CCCCC1 | 6-phospho-1-fructokinase
858834 Oc1ccc2c3c1O[C@@H]1[C@@H](O)CC[C@]4(O)[C@H](C2)N(CC2CCC2)CC[C@@]314 | Pyruvate kinase isozymes M1/M2
860600 CN1CCC2(CC1)CCN(C(=O)c1cccc(F)c1)CC2 | MAP kinase ERK2
861595 O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@@H]1O5 | Pyruvate kinase isozymes M1/M2
861773 O=C1CCCC2=C1C1(CCSC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
869271 CC1(C)CC2(CCCN3C(=O)CSC32)CCS1 | Pyruvate kinase isozymes M1/M2
874781 O=C1c2ccccc2C(=O)C12OC2c1cccc2ccccc12 | Galactokinase
879803 O=C(c1cc(O)nc2ccc(Br)cc12)N1CCC2(CC1)OCCO2 | Pyruvate kinase isozymes M1/M2
881653 O=C(CCC(=O)N1CCOc2ccc(Cl)cc21)N1CCC2(CC1)OCCO2 | 6-phospho-1-fructokinase
882037 O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCC2(CC1)OCCO2 | c-Jun N-terminal kinase 3
889186 CC1(C)CC2(CCCN(C(S)=Nc3ccccc3)C2)CCO1 | Serine-protein kinase ATM
892665 COc1ccc(C(=O)CN2C(=O)NC3(CCCc4ccccc43)C2=O)cc1OC | MAP kinase ERK2
893397 CSc1sc(C(=O)NNC(C)=O)c2c1C1(CCC2)SCCS1 | Pyruvate kinase isozymes M1/M2
896337 Cc1ccc2nc(NC3=NC4(CCCC4)C4=C(CCCC4=O)N3)oc2c1 | Galactokinase
897127 CC1CCC2(C1)N=C(Nc1nc3ccccc3o1)NC1=C2C(=O)CCC1 | Galactokinase
898009 COc1ccc(NC(=O)N2CC[C@@]3(CCCN(S(C)(=O)=O)C3)C2)cc1 | MAP kinase ERK2
903477 CN1C[C@@H]2C(c3ccccc3)C3(c4ccc(C#N)cc4)CC2(C3)[C@H]1c1ccccc1 | MAP kinase ERK2
904045 O=S(=O)(c1ccccc1)N1CCC2(CCN(Cc3nccs3)CC2)CC1 | MAP kinase ERK2
