1826392 O=C1CCCC2=C1C1(CCS(=O)(=O)C1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
1835715 O=C1Nc2ccccc2[C@]12C[C@H]2c1ccc2c(/C=C/c3ccc(CN4CC5CCC(C4)O5)cc3)n[nH]c2c1 | Serine/threonine-protein kinase PLK4
1949510 CCOC(=O)/C=C1\C(=O)C=C[C@]2(C)[C@@H]1CC[C@]13C[C@](O)(CO)[C@@](O)(CC[C@H]12)C3 | MAP kinase p38
1960538 Cn1ccc(NC(=O)Nc2cccc3c2C2CC4(CCN2C3=O)SCCS4)n1 | Glycogen synthase kinase-3
1960540 Cc1cnc(NC(=O)Nc2cccc3c2C2CC4(CCN2C3=O)SCCS4)cn1 | Glycogen synthase kinase-3
1960613 O=C(Nc1ccc(Br)cn1)Nc1cccc2c1C1CC3(CCN1C2=O)SCCS3 | Glycogen synthase kinase-3
1960612 O=C(Nc1cccc(Br)n1)Nc1cccc2c1C1CC3(CCN1C2=O)SCCS3 | Glycogen synthase kinase-3
2024846 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC6CCC(C5)N6)OC4=O)cn3)nc2n1C1CCCCC1 | Cyclin-dependent kinase 1
2024853 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC6CCC(C5)N6)OC4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024854 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC6CCC(C5)N6C)OC4=O)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024870 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC4=O)CC4CCC(C5)N4)cn3)nc2n1C1CCCC1 | Cyclin-dependent kinase 1
2024872 CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC5(CC4=O)CC4CCC(C5)N4)cn3)nc2n1C1CCCOC1 | Cyclin-dependent kinase 1
2045104 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC4(COC4)C3)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045142 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC4(CCOC4)C3)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045143 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC4(CC3)COC4)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045144 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CC4(CCOC4)C3)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045145 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CC4(CCCOC4)C3)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045146 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CC4(CCOCC4)C3)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045526 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CS4)nc(N3CCC4(COC4)C3)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045546 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC4(CC4)C3)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045547 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC4(CC4)C3)n2)cn1 | Mitogen-activated protein kinase kinase kinase 12
2045873 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC4(C3)CC4(F)F)n2)cc1OC(F)F | Mitogen-activated protein kinase kinase kinase 12
2045888 Nc1ncc(-c2cc(N3C[C@@H]4C[C@H]3CO4)nc(N3CCC4(C3)CC4(F)F)n2)cn1 | Mitogen-activated protein kinase kinase kinase 12
