7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
2140649 O=C(Nc1cn(CC(=O)N2C[C@@H]3CNC[C@@H]3C2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12 | Tyrosine-protein kinase JAK1
2141040 CNc1nc2ccccc2n1-c1nc2c(c(C(C)(C)S(C)(=O)=O)n1)OCC1COCCN21 | PI3-kinase p110-alpha/p85-alpha
2141288 Nc1ncc([C@H]2C[C@H]3COCC(=O)N3C2)cc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1 | MAP kinase ERK2
2141440 Cc1cc(NC(=O)Nc2ccc(-c3nc(N4CC5CCC(C4)O5)nc4c3C(=O)N(C3CCOCC3)CC(C)(C)O4)cc2)no1 | Serine/threonine-protein kinase mTOR
2141565 c1cc(-c2nc(-c3cccc4[nH]ccc34)c3c(n2)N2CCOCC2CO3)c2cc[nH]c2c1 | PI3-kinase p110-alpha/p85-alpha
2141644 COc1ccc(NC(=O)Nc2ccc(-c3nc(N4CC5CCC(C4)O5)nc4c3C(=O)N(C)CC(C)(C)O4)cc2)nc1 | Serine/threonine-protein kinase mTOR
2141967 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc(C(F)(F)F)c[nH]3)ccnc2N1 | Serine/threonine-protein kinase B-raf
2141999 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(OC)nn4)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2142015 CCOC(=O)N1CCC(CN2C[C@H]3CN(C(=O)Cn4cc(NC(=O)c5cnn6cccnc56)c(-c5cc(Cl)ccc5OC(F)F)n4)C[C@H]3C2)CC1 | Tyrosine-protein kinase JAK1
2142389 COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CCN5C(=O)OCC5C4)ncn3)c2c1 | Leucine-rich repeat serine/threonine-protein kinase 2
2142665 CS(=O)(=O)C1(c2nc(-c3cc(C(F)(F)F)cc4[nH]ccc34)nc3c2OC[C@@H]2COCCN32)CC1 | PI3-kinase p110-alpha/p85-alpha
2142700 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4cccc(C(F)(F)F)c4[nH]3)ccnc2N1 | Serine/threonine-protein kinase B-raf
2142956 CN(C)CCCOc1ccc(CCN2c3nc(N4CC5CCC(C4)O5)cc(=O)n3C[C@@]2(C)C(F)(F)F)cc1 | PI3-kinase p110-alpha/p85-alpha
2143146 CN1Cc2c(C3=CC4CN(CC(=O)N5CC(O)C5)CC4C3)[nH]c3nccc(c23)-c2cc(F)ccc21 | Cyclin-dependent kinase 9
2143333 CS(=O)(=O)c1cccc(-c2nc(-c3cccc4[nH]ccc34)nc3c2OCC2COCCN32)c1 | PI3-kinase p110-alpha/p85-alpha
2143501 CN1CC(C)(C)Oc2nc(N3C4CCC3COC4)nc(-c3ccc(NC(=O)Nc4ccncc4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2143805 COc1cc(-c2nc3c(c(C4(S(C)(=O)=O)CCC4)n2)OC[C@@H]2COCCN32)c2cc[nH]c2c1 | PI3-kinase p110-alpha/p85-alpha
2144153 Cc1cc([C@](C)(O)C#Cc2ccc3c(c2)-c2nc(C(N)=O)c([C@@H](O)c4ccnn4C)n2C2CC3C2)no1 | Mitogen-activated protein kinase kinase kinase 14
2144172 Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1[C@@]12CC[C@H](N)[C@@H](CC1)O2 | Serine/threonine-protein kinase PIM1
2144274 C.C.CC1c2[nH]nc(NC(=O)c3ccccn3)c2CN1C(=O)N1C[C@@H]2CCCN2C[C@@H]1C | Protein kinase C beta
2144392 COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CC5CCC(C4)O5)ncn3)c2c1 | Leucine-rich repeat serine/threonine-protein kinase 2
2144819 N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CC3CCC(C2)N3C(=O)c2cc(F)cc(C#N)c2)C1 | Tyrosine-protein kinase JAK1
2144830 CC1(C(F)(F)F)Cn2c(nc(N3C[C@@H]4C[C@H]3CO4)cc2=O)N1CCc1cccnc1 | PI3-kinase p110-alpha/p85-alpha
2144934 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4cc(F)c(F)cc4[nH]3)ccnc2N1 | Serine/threonine-protein kinase B-raf
2144945 CN1Cc2c(C3=CC4CCCC(C3)N4S(C)(=O)=O)[nH]c3nccc(c23)-c2cc(F)ccc21 | Cyclin-dependent kinase 9
2144957 CC(C)(O)[C@@H](NC(=O)Nc1cc2[nH]nc(N3CC4CCC(C3)O4)c2cn1)c1ccccc1 | MAP kinase ERK2
2145236 COC(=O)Nc1ccc(C(=O)CN2c3nc(N4C[C@@H]5C[C@H]4CO5)cc(=O)n3CCC2C(F)(F)F)cn1 | PI3-kinase p110-alpha/p85-alpha
2145422 O=C(CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC[C@H]1C(F)(F)F)c1ccc(F)c(F)c1 | PI3-kinase p110-alpha/p85-alpha
2145433 CCN1CC(C)(C)Oc2nc(N3C4CCC3COC4)nc(-c3ccc(NC(=O)Nc4cc(C)nc(C)n4)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2145623 COCCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(OC)nc4)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2145750 COc1cc(-c2nc3c(c(C4(S(C)(=O)=O)CCOCC4)n2)OC[C@@H]2COCCN32)c2cc[nH]c2c1 | PI3-kinase p110-alpha/p85-alpha
2145844 NC(=O)c1c(-c2ccccc2)c(Cl)n2c1CN(C(=O)NC13C=CC(CC1)C3)CC2 | Casein kinase I epsilon
2145848 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccccn4)cc3F)c2C1=O | Serine/threonine-protein kinase mTOR
2145893 C[C@H]1COCCN1c1nc(-c2cnc(N)nc2)c2c(n1)N([C@@]13C[C@@H]1CN(C(=O)OC(C)(C)C)C3)CC2 | PI3-kinase p110-alpha/p85-alpha
2145912 Nc1nn2cccnc2c1C(=O)Nc1cn(CC(=O)N2CC3CNCC3C2)nc1-c1cc(Cl)ccc1OC(F)F | Tyrosine-protein kinase JAK1
2145927 Cc1ncccc1C(=O)CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC1(C)C(F)(F)F | PI3-kinase p110-alpha/p85-alpha
2145946 COc1ccc(C(=O)CN2c3nc(N4C[C@@H]5C[C@H]4CO5)cc(=O)n3CC[C@H]2C(F)(F)F)cn1 | PI3-kinase p110-alpha/p85-alpha
2145956 Cc1nscc1C(=O)CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC[C@H]1C(F)(F)F | PI3-kinase p110-alpha/p85-alpha
2146099 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cn(C)cn4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2146175 COc1cc(-c2nc3c(c(C4(S(C)(=O)=O)CCOCC4)n2)OCCC2COCCN32)c2cc[nH]c2c1 | PI3-kinase p110-alpha/p85-alpha
2146257 NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1ccc(NC(=O)C34CC5CC(CC(C5)C3)C4)cc1-2 | Inhibitor of nuclear factor kappa B kinase beta subunit
2146488 CS(=O)(=O)C1(c2nc(-c3cccc4[nH]ccc34)nc3c2OC[C@@H]2COCCN32)CC1 | PI3-kinase p110-alpha/p85-alpha
2146525 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)OC[C@H](C)O)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2146778 Cn1c(C2C3Oc4ccc(Oc5ccnc6c5CCC(=O)N6)cc4C32)nc2cc(C(F)(F)F)ccc21 | Serine/threonine-protein kinase B-raf
2146803 Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(N3CCC4CCC(C(=O)O)CC4C3)nc2)c1 | Tyrosine-protein kinase SYK
2146892 CN1Cc2c(C3=CCN4C(=O)OC[C@H]4C3)[nH]c3nccc(c23)-c2cc(F)ccc21 | Cyclin-dependent kinase 9
2146936 CN(C)C(=O)CN1[C@H]2CC[C@@H]1C=C(c1[nH]c3nccc4c3c1CN(C)c1ccc(F)cc1-4)C2 | Cyclin-dependent kinase 9
2147325 Cc1ncsc1CCN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC1(C)C(F)(F)F | PI3-kinase p110-alpha/p85-alpha
2147522 COc1ccc(CCN2c3nc(N4CC5CCC(C4)O5)cc(=O)n3CC[C@H]2C(F)(F)F)cc1 | PI3-kinase p110-alpha/p85-alpha
2147643 O=c1cc(N2CC3CCC(C2)O3)nc2n1CC[C@@H](C(F)(F)F)N2Cc1ccn(C(F)F)n1 | PI3-kinase p110-alpha/p85-alpha
2147665 CN(c1nc(Nc2cnn(C)c2)ncc1Cl)C1COC2C(O)COC21 | Tyrosine-protein kinase JAK1
2147776 O=C(CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC[C@H]1C(F)(F)F)c1cnc2c(c1)OCCN2 | PI3-kinase p110-alpha/p85-alpha
2147891 C[C@H]1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12 | Tyrosine-protein kinase BTK
2148077 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4cc(C(F)(F)F)ccc4n3CCO)ccnc2N1 | Serine/threonine-protein kinase B-raf
2148102 CS(=O)(=O)Nc1ccc(-c2ccc(-c3nc4nc(O[C@@H]5CO[C@@H]6[C@H](O)CO[C@H]56)[nH]c4cc3Cl)cc2)c(F)c1 | AMP-activated protein kinase (AMPK) alpha-1/beta-1/gamma-1
2148324 COc1cc(-c2nc3c(c(C4(S(C)(=O)=O)CCOCC4)n2)OCC2COCCN32)c2cc[nH]c2c1 | PI3-kinase p110-alpha/p85-alpha
2148451 Nc1nccn2c([C@H]3CC[C@H]4C[C@@H](O)C(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12 | Tyrosine-protein kinase BTK
2148596 COc1ccc(C(NC(=O)c2cc(F)c3cnc(NC4CC5CC4CO5)nc3c2)c2cnn(C)c2)cc1F | MAP kinase ERK2
2148785 Nc1nccn2c([C@H]3CC[C@@H]4CNCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12 | Tyrosine-protein kinase BTK
2148877 C.COc1cccc(C(=O)Nc2n[nH]c3c2CN(C(=O)N2C[C@@H]4CCCN4C[C@@H]2C)C3(C)C)c1 | Protein kinase C beta
2149375 COc1cc(-c2nc3c(c(C(C)(C)S(C)(=O)=O)n2)OC[C@@H]2COCCN32)c2cc[nH]c2c1 | PI3-kinase p110-alpha/p85-alpha
2149547 C[C@H]1COCCN1c1nc(-c2cnc(N)nc2)c2c(n1)N([C@H]1[C@@H]3CN(C(=O)OC(C)(C)C)C[C@@H]31)CC2 | PI3-kinase p110-alpha/p85-alpha
2149718 CCN1CC(C)(C)Oc2nc(N3C4CCC3COC4)nc(-c3ccc(NC(=O)NC4CC4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2149984 Cc1nn(C)cc1Nc1ncc(Cl)c(NC2CC3CN(C(=O)CC#N)CC3C2)n1 | Tyrosine-protein kinase JAK1
2150163 O=CN1CCC(C(=O)CN2c3nc(N4C[C@@H]5C[C@H]4CO5)cc(=O)n3CCC2C(F)(F)F)CC1 | PI3-kinase p110-alpha/p85-alpha
2150404 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cccnc4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2150515 C.CO[C@@H]1CN2C[C@H](C)N(C(=O)N3Cc4c(NC(=O)c5ccccn5)n[nH]c4C3(C)C)C[C@@H]2C1C | Protein kinase C beta
2150638 CCN1CC(C)(C)Oc2nc(N3CC4CC35CC5O4)nc(-c3ccc(NC(=O)Nc4ccncc4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2150639 CS(=O)(=O)C1(c2nc(-c3cc(F)cc4[nH]ccc34)nc3c2OCCC2COCCN32)CCOCC1 | PI3-kinase p110-alpha/p85-alpha
2150688 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(N5CCCCC5)nc4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2150711 CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3nc(OCCN5C[C@@H]6C[C@H]5CN6)ccc34)cc2)no1 | Tyrosine-protein kinase receptor FLT3
2150932 COc1ncccc1C(=O)CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC[C@H]1C(F)(F)F | PI3-kinase p110-alpha/p85-alpha
2150938 CN1Cc2c(C3=CC4CCCC(C3)N4CC(=O)N3CC(O)C3)[nH]c3nccc(c23)-c2cc(F)ccc21 | Cyclin-dependent kinase 9
2150970 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cnc(N5CCOCC5)cn4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2151210 CS(=O)(=O)C1(c2nc(-c3cccc4[nH]ccc34)nc3c2OCC[C@H]2COCCN32)CCOCC1 | PI3-kinase p110-alpha/p85-alpha
2151243 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc(-c4ccncc4)c[nH]3)ccnc2N1 | Serine/threonine-protein kinase B-raf
2151517 O=c1[nH]c(N2CCOCC2)nc(NC2CN3CCC2CC3)c1-c1nc2ccccc2s1 | Interleukin-1 receptor-associated kinase 4
2151612 CN1C[C@H]2[C@@H](c3ccccc3)N(C(=O)Cn3cc(NC(=O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)[C@@H](CO)[C@H]2C1 | Tyrosine-protein kinase JAK1
2151693 CC(C)(C#N)c1nc(-c2cccc3[nH]ccc23)nc2c1OCC1COCCN21 | PI3-kinase p110-alpha/p85-alpha
2151972 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cc(C)nc(C)n4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2152053 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cccc(OC)c4)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2152148 C[C@@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12 | Tyrosine-protein kinase BTK
2152246 N#Cc1cccc(-c2c[nH]c3ncnc(N4CC5CC(C4)O5)c23)c1 | Leucine-rich repeat serine/threonine-protein kinase 2
2152372 CNc1nc2ccccc2n1-c1nc2c(c(C3(S(C)(=O)=O)CC3)n1)OC[C@@H]1COCCN21 | PI3-kinase p110-alpha/p85-alpha
2152484 CCN1CC(C)(C)Oc2nc(N3C4CCC3COC4)nc(-c3ccc(NC(=O)Nc4ccccn4)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2152562 CC1(C(F)(F)F)Cn2c(nc(N3C[C@@H]4C[C@H]3CO4)cc2=O)N1CC(=O)c1cccnc1 | PI3-kinase p110-alpha/p85-alpha
2152607 COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CCC[C@@H](N1CCN(CCO)CC1)C2 | ALK tyrosine kinase receptor
2152608 COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3=CC4CCC(C3)N4CC(=O)N(C)C)cc12 | Cyclin-dependent kinase 9
2152757 C=CC(=O)N1CC[C@H]2[C@@H](CNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)C1 | Tyrosine-protein kinase BTK
2152923 CNC(=O)c1cc(Oc2ccc3c(c2)C2C(O3)C2c2nc3ccc(C(F)(F)F)cc3[nH]2)ccn1 | Serine/threonine-protein kinase B-raf
2152982 CN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccncc4)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2153064 Cn1cc(Nc2ncc(Cl)c(NC3COC4C(OCCO)COC34)n2)cn1 | Tyrosine-protein kinase JAK1
2153178 CC1(C(F)(F)F)Cn2c(nc(N3C[C@@H]4C[C@H]3CO4)cc2=O)N1CCc1ccc(N)cc1 | PI3-kinase p110-alpha/p85-alpha
2153181 O=C(Cc1nc(N2CCOC3CCCC32)cc(=O)[nH]1)N1CCc2c(F)cccc21 | Serine/threonine-protein kinase AKT
2153185 CCN(C)CCOc1ccc2c(c1)C(C)(C)C1Oc3cc(F)ccc3C1C2=O | ALK tyrosine kinase receptor
2153246 CNc1nc2cc(Cl)ccc2n1-c1nc2c(c(C3(S(C)(=O)=O)CC3)n1)OC[C@@H]1COCCN21 | PI3-kinase p110-alpha/p85-alpha
2153263 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)NCC4CCS(=O)(=O)C4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2153293 Cn1cc(Nc2ncc(Cl)c(NC3CC4CN(c5ccc(C#N)cn5)CC4C3)n2)cn1 | Tyrosine-protein kinase JAK1
2153490 COc1ccc(NC(=O)Nc2ccc(-c3nc(N4CC5CCC(C4)O5)nc4c3C(=O)N(C3CCOCC3)CC(C)(C)O4)cc2)cn1 | Serine/threonine-protein kinase mTOR
2153731 CS(=O)(=O)C1(c2nc(-c3c(F)ccc4[nH]ccc34)nc3c2OCC2COCCN32)CCOCC1 | PI3-kinase p110-alpha/p85-alpha
2153802 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4ccc(OC(F)(F)F)cc4[nH]3)ccnc2N1 | Serine/threonine-protein kinase B-raf
2153901 CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)nc3c2C(=O)N(CC)CC(C)(C)O3)cn1 | Serine/threonine-protein kinase mTOR
2153939 O=C(Nc1cn(CC(=O)N2C[C@@H]3CN(CCCOC(=O)N4CCOCC4)C[C@@H]3C2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12 | Tyrosine-protein kinase JAK1
2154083 CC(C)Nc1nc2ccccc2n1-c1nc2c(c(C(C)(C)S(C)(=O)=O)n1)OC[C@@H]1COCCN21 | PI3-kinase p110-alpha/p85-alpha
2154176 CC(C)C(=O)CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC[C@H]1C(F)(F)F | PI3-kinase p110-alpha/p85-alpha
2154229 O=c1cc(N2CC3CCC(C2)O3)nc2n1CC[C@@H](C(F)(F)F)N2C[C@@H](O)c1cc2ccccc2s1 | PI3-kinase p110-alpha/p85-alpha
2154246 Cn1cc(Nc2ncc(Cl)c(NC3COC4C(NS(C)(=O)=O)COC34)n2)cn1 | Tyrosine-protein kinase JAK1
2154249 CC(C)(c1nc(-c2cccc3[nH]ccc23)nc2c1OCC1COCCN21)S(C)(=O)=O | PI3-kinase p110-alpha/p85-alpha
2154359 CC(=O)N1CC2CC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2C1 | Tyrosine-protein kinase JAK1
2154494 CNc1nc2ccc(Cl)cc2n1-c1nc2c(c(C3(S(C)(=O)=O)CCC3)n1)OC[C@@H]1COCCN21 | PI3-kinase p110-alpha/p85-alpha
2154703 COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CCC[C@H](N1CCOCC1)C2 | ALK tyrosine kinase receptor
2154776 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc(-c4ccccc4Cl)c[nH]3)ccnc2N1 | Serine/threonine-protein kinase B-raf
2154812 Cc1cncc(C(=O)CN2c3nc(N4C[C@@H]5C[C@H]4CO5)cc(=O)n3CC2(C)C(F)(F)F)c1 | PI3-kinase p110-alpha/p85-alpha
2154819 Nc1ncc(-c2nc(N3CCOCC3)nc3c2CCN3C23CC(C2)C3)cn1 | PI3-kinase p110-alpha/p85-alpha
2154836 Cc1ncsc1C(=O)CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC[C@H]1C(F)(F)F | PI3-kinase p110-alpha/p85-alpha
2154853 O=c1cc(N2C[C@@H]3C[C@H]2CO3)nc2n1CC[C@@H](C(F)(F)F)N2Cc1cccc2cnccc12 | PI3-kinase p110-alpha/p85-alpha
2155073 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(F)cc4F)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2155173 N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CC3CCC(C2)N3Cc2c(F)ccc(F)c2Cl)C1 | Tyrosine-protein kinase JAK1
2155263 CC(C)(C)OC(=O)N1C[C@@H]2CNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3[C@H]2C1 | Tyrosine-protein kinase BTK
2155343 Cc1cc([C@@](C)(O)C#Cc2cc3c(cc2F)C2CC(C2)n2cc(C(N)=O)nc2-3)on1 | Mitogen-activated protein kinase kinase kinase 14
2155399 CC(C)(c1nc(-c2cccc3[nH]ccc23)nc2c1OCC1COCCN21)S(=O)(=O)C1CC1 | PI3-kinase p110-alpha/p85-alpha
2155507 Cn1cc(CN2c3nc(N4C[C@@H]5C[C@H]4CO5)cc(=O)n3CC[C@H]2C(F)(F)F)c(C(F)(F)F)n1 | PI3-kinase p110-alpha/p85-alpha
2155584 O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc(-c4ccccc4)no3)ccnc2N1 | Serine/threonine-protein kinase B-raf
2155649 CS(=O)(=O)N1C[C@H]2C[C@@]2(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1 | PI3-kinase p110-alpha/p85-alpha
2155871 COCCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(F)cc4F)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2155980 CCN1CC(C)(C)Oc2nc(N3C4CCC3COC4)nc(-c3ccc(NC(=O)Nc4cccnc4)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2156026 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(N5CCCC5)cn4)cc3)c2C1=O | Serine/threonine-protein kinase mTOR
2156041 O=C1CCc2c(Oc3ccc4c(c3)[C@H]3C(c5nc6cc(Cl)c(Cl)cc6[nH]5)[C@H]3O4)ccnc2N1 | Serine/threonine-protein kinase B-raf
2156634 Nc1ncc([C@H]2C[C@H]3COC(=S)N3C2)cc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1 | MAP kinase ERK2
2156686 CC12CCC(O1)C1CN(c3n[nH]c4cc(NC(=O)N[C@@H](c5ccc(F)cc5)C(C)(C)O)ncc34)CC12 | MAP kinase ERK2
2157484 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)NC)cc3F)c2C1=O | Serine/threonine-protein kinase mTOR
2157891 N#CCC(=O)N1CC2CC(Nc3nc(Nc4cnn(CCO)c4)ncc3Cl)CC2C1 | Tyrosine-protein kinase JAK1
2158042 CC(C)Oc1ccc2[nH]nc(-c3cc(N4CC5CCC(C4)O5)ncn3)c2c1 | Leucine-rich repeat serine/threonine-protein kinase 2
2158066 O=C1CC(c2ccccc2)CC2=C1C1(CCCCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
2158149 CS(=O)(=O)C1(c2nc(-c3cc(F)cc4[nH]ccc34)nc3c2OC[C@@H]2COCCN32)CC1 | PI3-kinase p110-alpha/p85-alpha
2158485 COc1ccc(CCN2c3nc(N4C[C@@H]5C[C@H]4CO5)cc(=O)n3CC2(C)C(F)(F)F)cc1 | PI3-kinase p110-alpha/p85-alpha
2158602 CCN1CC(C)(C)Oc2nc(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)NCCOC)c(F)c3)c2C1=O | Serine/threonine-protein kinase mTOR
2159026 C.CC1c2[nH]nc(NC(=O)c3ccccc3F)c2CN1C(=O)N1C[C@@H]2CCCN2C[C@@H]1Cc1ccccc1 | Protein kinase C beta
2159029 CN1C[C@@H]2C[C@H]1CN2C(=O)Cn1cc(NC(=O)c2c(N)nn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1 | Tyrosine-protein kinase JAK1
2159091 N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CC3CCC(C2)N3C(=O)c2ccnc(C(F)(F)F)c2F)C1 | Tyrosine-protein kinase JAK1
2159106 CN1Cc2c(C3=CC4CN(CC(=O)N(C)C5CC(O)C5)CC4C3)[nH]c3nccc(c23)-c2cc(F)ccc21 | Cyclin-dependent kinase 9
2159270 O=C1CCc2c(ncc(Cl)c2Oc2ccc3c(c2)C2C(O3)C2c2nc3ccc(C(F)(F)F)cc3[nH]2)N1 | Serine/threonine-protein kinase B-raf
2159321 COCCOc1ccc2[nH]nc(-c3cc(N4CC5CCC(C4)O5)ncn3)c2c1 | Leucine-rich repeat serine/threonine-protein kinase 2
2159495 CCn1cc(-c2cc3c(-c4cccc(N5C[C@@H]6CNC[C@@H]6C5)n4)n[nH]c3cn2)cn1 | Serine/threonine-protein kinase PIM1
2159514 Nc1nn2cccnc2c1C(=O)Nc1cn(CC(=O)N2C[C@@H]3CN(CC4CC4)C[C@@H]3C2)nc1-c1cc(Cl)ccc1OC(F)F | Tyrosine-protein kinase JAK1
2159538 Cc1n[nH]c(C)c1CCN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC1(C)C(F)(F)F | PI3-kinase p110-alpha/p85-alpha
2159571 CN1[C@H]2CC[C@@H]1CN(C(=O)Cn1cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n1)C2 | Tyrosine-protein kinase JAK1
2159768 CNc1nc2ccc(F)cc2n1-c1nc2c(c(C(C)(C)S(C)(=O)=O)n1)OC[C@@H]1COCCN21 | PI3-kinase p110-alpha/p85-alpha
2159890 Cn1cnc(Nc2ncc(Cl)c(NC3CC4CN(C(=O)CC#N)CC4C3)n2)c1 | Tyrosine-protein kinase JAK1
2160084 O=C(Nc1cn(CC(=O)N2C[C@@H]3CN(CCCO)C[C@@H]3C2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12 | Tyrosine-protein kinase JAK1
2160097 O=C(CN1c2nc(N3C[C@@H]4C[C@H]3CO4)cc(=O)n2CC[C@H]1C(F)(F)F)c1ccc(NCCO)nc1 | PI3-kinase p110-alpha/p85-alpha
2160237 CNC(=O)N1C2C=C(c3[nH]c4nccc5c4c3CN(C)c3ccc(F)cc3-5)CC1CCC2 | Cyclin-dependent kinase 9
