7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
112639 C[C@]12CC[C@@H]3[C@H]4CC/C(=N\N=C(N)N)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
112753 C[C@@]12CCCCC1=C/C(=N/O)CC2 | Pyruvate dehydrogenase kinase
112754 C[C@]12CC/C(=N\O)C=C1CCc1ccccc12 | Pyruvate dehydrogenase kinase
112758 C[C@]12CC[C@@H]3[C@H]4CC/C(=N\OCc5ccccc5)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
112897 O=C(NC1C2CCC(C2)C1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1 | Protein kinase C alpha
112931 C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21C | Pyruvate dehydrogenase kinase
112964 C[C@]12CC[C@@H]3[C@H]4CC[C@H](O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
113015 CC(C)C1=CC2=CC[C@H]3[C@](C)(CO)CCC[C@]3(C)[C@H]2CC1 | Pyruvate dehydrogenase kinase
113013 CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 | Pyruvate dehydrogenase kinase
113045 C[C@]12CC[C@@H]3[C@H]4CC/C(=N/OCc5ccccc5)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
113043 C[C@]12CC[C@@H]3[C@H]4CC/C(=N\CC(=O)O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
113052 CC(C)C1=CC2=CC[C@H]3[C@](C)(C(N)=O)CCC[C@]3(C)[C@H]2CC1 | Pyruvate dehydrogenase kinase
113179 C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3C/C(=N/O)CC[C@]3(C)[C@H]1CC2 | Pyruvate dehydrogenase kinase
113217 C[C@]12CC[C@H]3[C@@H](CC[C@H]4C/C(=N/O)CC[C@@]43C)[C@@H]1CC[C@@H]2O | Pyruvate dehydrogenase kinase
